protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
101	Q7L2J0	7SK snRNA methylphosphate capping enzyme OS=Homo sapiens GN=MEPCE PE=1 SV=1	MEPCE	81184.5	5.06963	0.0	54	54	1	1	0	1	1	126	331402.0	68645.9	106111.0	69367.7	431467.0	375503.0	438938.0	522195.0	376304.0	395852.0	1.0	0.207138	0.320189	0.209316	1.30194	1.13308	1.32449	1.57572	1.13549	1.19448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102	A0A075B7G8|J3KPL8|O00213	Amyloid beta A4 precursor protein-binding family B member 1 OS=Homo sapiens GN=APBB1 PE=1 SV=7|Amyloid beta A4 precursor protein-binding family B member 1 OS=Homo sapiens GN=APBB1 PE=1 SV=1|Amyloid beta A4 precursor protein-binding family B member 1 OS=Homo sapiens GN=APBB1 PE=1 SV=2	APBB1	82390.7|83070.1|83154.1	5.37163	0.0	58	110	2	2	0	2	2	126	258489.0	21667.3	29037.7	25998.0	471107.0	495251.0	403451.0	360690.0	322127.0	262604.0	1.0	0.083823	0.112336	0.100577	1.82254	1.91595	1.56081	1.39538	1.24619	1.01592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
103	Q15233	Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO PE=1 SV=4	NONO	60613.8	6.72802	0.0	81	716	41	14	7	34	14	126	1.98367e+07	1.9888e+06	2.53182e+06	2.16269e+06	2.04506e+07	1.83438e+07	2.22101e+07	2.77232e+07	2.21858e+07	2.44941e+07	1.0	0.0994541	0.128261	0.109685	1.04008	0.934249	1.12487	1.39858	1.1235	1.22652	0.0	0.0896884	0.0654281	0.0827361	0.346008	0.358198	0.179217	0.204751	0.241993	0.29853
104	Q6P1L5	Protein FAM117B OS=Homo sapiens GN=FAM117B PE=1 SV=2	FAM117B	68575.8	4.93534	0.0	57	57	1	1	0	1	1	126	653825.0	22975.8	48220.2	41139.6	761505.0	754810.0	670068.0	1.08311e+06	800338.0	679595.0	1.0	0.0351406	0.0737509	0.0629214	1.16469	1.15445	1.02484	1.65658	1.22409	1.03941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
105	Q92997	Segment polarity protein dishevelled homolog DVL-3 OS=Homo sapiens GN=DVL3 PE=1 SV=2	DVL3	83735.0	6.23704	0.0	85	529	19	7	9	10	7	126	1.03941e+07	1.27493e+06	1.79683e+06	1.46472e+06	9.95109e+06	9.89701e+06	1.14761e+07	1.31511e+07	1.16033e+07	1.23621e+07	1.0	0.121327	0.170474	0.138077	0.959288	0.95495	1.10494	1.26563	1.11623	1.18853	0.0	0.0832216	0.153908	0.13609	0.185587	0.173844	0.199403	0.155176	0.170364	0.173243
106	A8MU27|A8MUA9|P55854|P61956|Q6EEV6	Small ubiquitin-related modifier 3 OS=Homo sapiens GN=SUMO3 PE=1 SV=1|SMT3 suppressor of mif two 3 homolog 3 (Yeast), isoform CRA_d OS=Homo sapiens GN=SUMO3 PE=1 SV=1|Small ubiquitin-related modifier 3 OS=Homo sapiens GN=SUMO3 PE=1 SV=2|Small ubiquitin-related modifier 2 OS=Homo sapiens GN=SUMO2 PE=1 SV=3|Small ubiquitin-related modifier 4 OS=Homo sapiens GN=SUMO4 PE=1 SV=2	SUMO3|SUMO2|SUMO4	19695.6|17370.3|13692.2|12926.8|12970.0	5.59894	0.0	68	68	2	1	1	1	1	126	500107.0	46236.4	63664.7	80714.4	885125.0	833787.0	633666.0	986685.0	690248.0	591112.0	1.0	0.092453	0.127302	0.161394	1.76987	1.66722	1.26706	1.97295	1.3802	1.18197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
107	O75400	Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens GN=PRPF40A PE=1 SV=2	PRPF40A	132111.0	5.14508	0.0	30	30	1	1	0	1	1	126	1.32473e+06	191428.0	313417.0	202242.0	1.84549e+06	1.49489e+06	1.65866e+06	1.88738e+06	1.57732e+06	1.74074e+06	1.0	0.144504	0.23659	0.152667	1.39311	1.12845	1.25208	1.42473	1.19067	1.31403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
108	H3BMU1|H3BQF7|H3BUI0|J3KR23|P53990	IST1 homolog (Fragment) OS=Homo sapiens GN=IST1 PE=1 SV=1|IST1 homolog (Fragment) OS=Homo sapiens GN=IST1 PE=1 SV=1|IST1 homolog (Fragment) OS=Homo sapiens GN=IST1 PE=1 SV=1|IST1 homolog (Fragment) OS=Homo sapiens GN=IST1 PE=1 SV=1|IST1 homolog OS=Homo sapiens GN=IST1 PE=1 SV=1	IST1	27714.6|22668.0|32475.9|35061.4|45683.7	5.24276	0.0	57	57	1	1	0	1	1	126	302817.0	0.0	19474.8	0.0	309747.0	285507.0	245707.0	420408.0	425435.0	301460.0	1.0	0.0	0.064312	0.0	1.02288	0.942837	0.811405	1.38832	1.40492	0.995517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
109	P78371	T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4	CCT2	66160.3	5.07925	0.0	46	46	1	1	0	1	1	126	126022.0	54636.7	79844.8	57207.9	359299.0	113013.0	603433.0	227009.0	301356.0	125387.0	1.0	0.433548	0.633577	0.453951	2.85108	0.896772	4.7883	1.80134	2.39129	0.994962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
110	K7EPA1|Q13111	Chromatin assembly factor 1 subunit A (Fragment) OS=Homo sapiens GN=CHAF1A PE=1 SV=8|Chromatin assembly factor 1 subunit A OS=Homo sapiens GN=CHAF1A PE=1 SV=2	CHAF1A	43420.8|126797.0	5.67146	0.0	34	34	1	1	0	1	1	126	614622.0	52006.9	96327.8	61740.6	1.05531e+06	792908.0	971224.0	988652.0	801152.0	705377.0	1.0	0.0846161	0.156727	0.100453	1.71701	1.29007	1.5802	1.60855	1.30349	1.14766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111	K1C9_HUMAN|P35527	|Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3	K1C9_HUMAN|KRT9	68279.3|68214.2	5.62467	0.0	129	285	14	4	1	6	4	126	2.70319e+06	1.44301e+06	2.13598e+06	623035.0	8.65213e+06	2.36267e+06	2.97321e+06	5.34494e+06	2.90267e+06	2.92124e+06	1.0	0.523949	0.77885	0.231489	3.19325	0.874029	1.08619	1.97176	1.07385	1.08123	0.0	0.320668	0.512539	0.213057	1.79364	0.355311	0.558498	0.50397	0.353308	0.0902568
112	Q13428	Treacle protein OS=Homo sapiens GN=TCOF1 PE=1 SV=3	TCOF1	190744.0	6.25992	0.0	79	395	11	8	0	11	8	126	8.56478e+06	476837.0	889893.0	607598.0	1.39769e+07	1.26424e+07	1.40001e+07	1.30004e+07	1.02513e+07	9.80266e+06	1.0	0.0551869	0.104041	0.070286	1.63091	1.47453	1.63613	1.51728	1.19646	1.14521	0.0	0.0796334	0.0397305	0.112216	0.153878	0.149899	0.122681	0.130939	0.126672	0.129484
113	P61978	Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1	HNRNPK	56215.1	5.27891	0.0	35	93	4	3	1	3	3	126	2.70754e+06	545279.0	784902.0	758945.0	3.44159e+06	3.16806e+06	3.63655e+06	3.46273e+06	3.17686e+06	2.87398e+06	1.0	0.201393	0.289895	0.280308	1.27111	1.17009	1.34312	1.27892	1.17334	1.06147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
114	Q14247	Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2	CTTN	73465.0	6.24591	0.0	88	441	11	9	1	10	9	126	1.33427e+07	781817.0	1.51003e+06	988378.0	1.35101e+07	1.16426e+07	1.27885e+07	2.04319e+07	1.63374e+07	1.55563e+07	1.0	0.0587516	0.112093	0.0739205	1.01429	0.874662	0.961307	1.53188	1.22548	1.1659	0.0	0.0866213	0.161765	0.104945	0.0964022	0.105279	0.123611	0.107954	0.0907387	0.146569
115	A0A087WZ40|Q14244	Ensconsin OS=Homo sapiens GN=MAP7 PE=1 SV=1|Ensconsin OS=Homo sapiens GN=MAP7 PE=1 SV=1	MAP7	100141.0|95459.7	4.89618	0.0	72	72	1	1	0	1	1	126	273664.0	0.0	8506.21	0.0	338652.0	301398.0	312533.0	401221.0	318099.0	262452.0	1.0	0.0	0.0310827	0.0	1.23747	1.10134	1.14203	1.46611	1.16237	0.959028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
116	J3QK89|Q8IWX8	Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens GN=CHERP PE=1 SV=1|Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens GN=CHERP PE=1 SV=3	CHERP	114264.0|112804.0	4.33833	0.0	31	31	1	1	0	1	1	126	405187.0	42356.8	71547.5	76097.3	634953.0	481080.0	632455.0	751663.0	538217.0	531337.0	1.0	0.104537	0.176579	0.187808	1.56706	1.1873	1.5609	1.8551	1.32832	1.31134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
117	P52597	Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens GN=HNRNPF PE=1 SV=3	HNRNPF	49538.6	5.5998	0.0	55	148	7	4	1	4	3	126	2.8765e+06	648596.0	971281.0	939213.0	3.45065e+06	2.81995e+06	3.39548e+06	3.99267e+06	3.18618e+06	3.43284e+06	1.0	0.225481	0.337661	0.326513	1.1996	0.980343	1.18042	1.38803	1.10766	1.19341	0.0	0.403268	0.447505	0.344487	0.200636	0.28808	0.181304	0.273247	0.245072	0.322741
118	A0A0J9YWY6|O95425	Supervillin (Fragment) OS=Homo sapiens GN=SVIL PE=1 SV=1|Supervillin OS=Homo sapiens GN=SVIL PE=1 SV=2	SVIL	124106.0|282196.0	4.61453	0.00496278	17	17	1	1	0	1	1	126	537792.0	35482.7	51204.0	26927.7	514909.0	365971.0	648543.0	603007.0	498617.0	602853.0	1.0	0.0659785	0.0952117	0.0500709	0.957451	0.680507	1.20594	1.12127	0.927157	1.12098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
119	Q9Y3R5	Protein dopey-2 OS=Homo sapiens GN=DOPEY2 PE=1 SV=5	DOPEY2	286025.0	4.49906	0.0	65	65	1	1	0	1	1	126	119718.0	32520.5	23296.3	28531.0	67389.5	76482.6	102421.0	135893.0	109738.0	110844.0	1.0	0.271643	0.194593	0.238319	0.562903	0.638857	0.855516	1.13511	0.916639	0.925877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
120	M0QZC5|P62280	40S ribosomal protein S11 OS=Homo sapiens GN=RPS11 PE=1 SV=1|40S ribosomal protein S11 OS=Homo sapiens GN=RPS11 PE=1 SV=3	RPS11	17655.1|23460.6	5.6292	0.0	35	35	1	1	0	1	1	126	478656.0	180562.0	230426.0	206979.0	533912.0	454472.0	732672.0	748697.0	516248.0	644115.0	1.0	0.377226	0.481403	0.432417	1.11544	0.949476	1.53069	1.56416	1.07854	1.34567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
121	Q9H444	Charged multivesicular body protein 4b OS=Homo sapiens GN=CHMP4B PE=1 SV=1	CHMP4B	31122.0	5.56262	0.0	38	38	1	1	0	1	1	126	1.43976e+06	70069.9	143015.0	53620.0	1.3706e+06	1.26178e+06	1.39847e+06	1.95012e+06	1.71328e+06	1.76429e+06	1.0	0.0486676	0.0993325	0.0372422	0.951959	0.876378	0.97132	1.35447	1.18997	1.2254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
122	H7C5E4|Q8IZH2	5'-3' exoribonuclease 1 (Fragment) OS=Homo sapiens GN=XRN1 PE=1 SV=1|5'-3' exoribonuclease 1 OS=Homo sapiens GN=XRN1 PE=1 SV=1	XRN1	149587.0|222630.0	4.54418	0.0	36	36	1	1	0	1	1	126	313939.0	86736.6	47177.3	56741.9	455909.0	470929.0	490244.0	489155.0	458190.0	374453.0	1.0	0.276285	0.150275	0.180742	1.45222	1.50006	1.56159	1.55812	1.45949	1.19275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
123	A6NGP5|H3BU16|Q9H910	Hematological and neurological-expressed 1-like protein OS=Homo sapiens GN=HN1L PE=1 SV=2|Hematological and neurological-expressed 1-like protein (Fragment) OS=Homo sapiens GN=HN1L PE=1 SV=1|Hematological and neurological expressed 1-like protein OS=Homo sapiens GN=HN1L PE=1 SV=1	HN1L	22102.7|20571.9|23259.3	5.31122	0.0	62	103	3	2	0	3	2	126	1.58974e+06	169840.0	246942.0	172995.0	1.83575e+06	1.6389e+06	1.7632e+06	2.26764e+06	1.94312e+06	1.91122e+06	1.0	0.106835	0.155335	0.10882	1.15475	1.03093	1.10912	1.42643	1.22229	1.20223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
124	Q9ULW0	Targeting protein for Xklp2 OS=Homo sapiens GN=TPX2 PE=1 SV=2	TPX2	108516.0	5.02575	0.0026178	22	22	1	1	0	1	1	126	112822.0	0.0	0.0	0.0	216268.0	264881.0	145396.0	217130.0	216232.0	102175.0	1.0	0.0	0.0	0.0	1.91689	2.34777	1.28872	1.92452	1.91657	0.905628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
125	B4DV12|F5GXK7|F5GYU3|F5H265|F5H2Z3|F5H388|F5H6Q2|F5H747|J3QKN0|J3QS39|J3QTR3|M0R1M6|M0R1V7|M0R2S1|P0CG47|P0CG48|P62979|P62987|Q5PY61|Q96C32|RS27A_HUMAN	Polyubiquitin-B OS=Homo sapiens GN=UBB PE=1 SV=1|Polyubiquitin-C (Fragment) OS=Homo sapiens GN=UBC PE=1 SV=2|Polyubiquitin-C (Fragment) OS=Homo sapiens GN=UBC PE=1 SV=1|Polyubiquitin-C (Fragment) OS=Homo sapiens GN=UBC PE=1 SV=1|Polyubiquitin-C (Fragment) OS=Homo sapiens GN=UBC PE=1 SV=1|Polyubiquitin-C (Fragment) OS=Homo sapiens GN=UBC PE=1 SV=1|Polyubiquitin-C (Fragment) OS=Homo sapiens GN=UBC PE=1 SV=8|Polyubiquitin-C (Fragment) OS=Homo sapiens GN=UBC PE=1 SV=8|Polyubiquitin-B (Fragment) OS=Homo sapiens GN=UBB PE=1 SV=1|Polyubiquitin-B (Fragment) OS=Homo sapiens GN=UBB PE=1 SV=1|Ubiquitin-40S ribosomal protein S27a (Fragment) OS=Homo sapiens GN=RPS27A PE=1 SV=1|Ubiquitin-60S ribosomal protein L40 (Fragment) OS=Homo sapiens GN=UBA52 PE=1 SV=1|Ubiquitin-60S ribosomal protein L40 (Fragment) OS=Homo sapiens GN=UBA52 PE=1 SV=1|Ubiquitin-60S ribosomal protein L40 (Fragment) OS=Homo sapiens GN=UBA52 PE=1 SV=1|Polyubiquitin-B OS=Homo sapiens GN=UBB PE=1 SV=1|Polyubiquitin-C OS=Homo sapiens GN=UBC PE=1 SV=3|Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2|Ubiquitin-60S ribosomal protein L40 OS=Homo sapiens GN=UBA52 PE=1 SV=2|Polyubiquitin-C OS=Homo sapiens GN=UBC PE=1 SV=1|Polyubiquitin-C OS=Homo sapiens GN=UBC PE=1 SV=1|	UBB|UBC|RPS27A|UBA52|RS27A_HUMAN	20641.7|22900.1|18231.3|20268.5|18508.4|20910.8|16702.5|21728.4|27960.9|12754.3|17042.3|15545.0|8961.09|19132.8|30787.4|91658.0|23911.7|18843.9|30783.5|40929.2|23911.7	5.714	0.0	35	53	2	2	0	2	2	126	420857.0	108767.0	142879.0	103808.0	788418.0	681127.0	700749.0	777701.0	777082.0	634177.0	1.0	0.258441	0.339495	0.246658	1.87336	1.61843	1.66505	1.8479	1.84643	1.50687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
126	J3QQM1|P62195	26S protease regulatory subunit 8 (Fragment) OS=Homo sapiens GN=PSMC5 PE=1 SV=1|26S protease regulatory subunit 8 OS=Homo sapiens GN=PSMC5 PE=1 SV=1	PSMC5	33682.5|53388.6	5.27574	0.0	72	72	1	1	0	1	1	126	353387.0	21626.9	31327.9	18131.0	396053.0	349369.0	307925.0	508149.0	432900.0	339038.0	1.0	0.0611991	0.0886506	0.0513065	1.12074	0.98863	0.871354	1.43794	1.225	0.959397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
127	E9PKE3|P11142	Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1|Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1	HSPA8	81367.1|83458.2	5.64862	0.0	85	302	6	3	3	3	3	126	512829.0	175891.0	227199.0	201694.0	734334.0	644749.0	919236.0	729677.0	570382.0	652450.0	1.0	0.342981	0.44303	0.393297	1.43193	1.25724	1.79248	1.42285	1.11223	1.27225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
128	J3KNS1|Q9UPW5	Cytosolic carboxypeptidase 1 OS=Homo sapiens GN=AGTPBP1 PE=1 SV=1|Cytosolic carboxypeptidase 1 OS=Homo sapiens GN=AGTPBP1 PE=1 SV=3	AGTPBP1	161245.0|156923.0	5.57702	0.0	71	136	4	3	1	3	3	126	2.7177e+06	95428.9	211071.0	154028.0	4.18802e+06	3.82418e+06	4.13878e+06	3.902e+06	3.28848e+06	3.08851e+06	1.0	0.0351138	0.0776652	0.056676	1.54102	1.40714	1.5229	1.43577	1.21002	1.13644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
129	P51587	Breast cancer type 2 susceptibility protein OS=Homo sapiens GN=BRCA2 PE=1 SV=3	BRCA2	457982.0	4.97177	0.0	58	58	1	1	0	1	1	126	463913.0	0.0	32170.2	0.0	510567.0	550342.0	623870.0	535173.0	502794.0	428191.0	1.0	0.0	0.0693454	0.0	1.10057	1.18631	1.3448	1.15361	1.08381	0.923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
130	E9PAV3|F8VNW4|F8VZJ2|F8W0W4|F8W1N5|H0YHX9|Q13765	Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1|Nascent polypeptide-associated complex subunit alpha (Fragment) OS=Homo sapiens GN=NACA PE=1 SV=1|Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens GN=NACA PE=1 SV=1|Nascent polypeptide-associated complex subunit alpha (Fragment) OS=Homo sapiens GN=NACA PE=1 SV=1|Nascent polypeptide-associated complex subunit alpha (Fragment) OS=Homo sapiens GN=NACA PE=1 SV=1|Nascent polypeptide-associated complex subunit alpha (Fragment) OS=Homo sapiens GN=NACA PE=1 SV=1|Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens GN=NACA PE=1 SV=1	NACA	239669.0|19278.5|17756.7|25135.4|9870.74|27054.6|27265.5	5.84325	0.0	55	55	2	1	0	2	1	126	376360.0	72719.6	58362.4	55496.7	1.63559e+06	1.50883e+06	1.70216e+06	776629.0	524508.0	574911.0	1.0	0.193218	0.155071	0.147456	4.34581	4.009	4.52269	2.06353	1.39363	1.52755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
131	G3V220|O14776	Transcription elongation regulator 1 OS=Homo sapiens GN=TCERG1 PE=1 SV=1|Transcription elongation regulator 1 OS=Homo sapiens GN=TCERG1 PE=1 SV=2	TCERG1	137177.0|146510.0	5.08953	0.0	67	113	2	2	0	2	2	126	1.26181e+06	79160.1	149117.0	95569.0	1.78774e+06	1.59799e+06	1.67263e+06	1.82041e+06	1.36888e+06	1.35249e+06	1.0	0.0627352	0.118177	0.0757394	1.4168	1.26642	1.32558	1.44269	1.08485	1.07186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
132	P61081	NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens GN=UBE2M PE=1 SV=1	UBE2M	25240.7	5.52395	0.0	46	111	3	3	0	3	3	126	4.90076e+06	558627.0	719058.0	472744.0	5.29791e+06	4.62841e+06	5.22028e+06	8.1771e+06	6.84285e+06	5.85776e+06	1.0	0.113988	0.146724	0.0964635	1.08104	0.944426	1.0652	1.66854	1.39628	1.19528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
133	Q9H2M9	Rab3 GTPase-activating protein non-catalytic subunit OS=Homo sapiens GN=RAB3GAP2 PE=1 SV=1	RAB3GAP2	176740.0	5.72341	0.0	76	432	10	10	0	10	10	126	1.19843e+07	776906.0	1.25524e+06	676355.0	9.45047e+06	8.43246e+06	9.6745e+06	1.78324e+07	1.42833e+07	1.44981e+07	1.0	0.0662079	0.104406	0.0570975	0.78907	0.705291	0.808529	1.48624	1.18945	1.20607	0.0	0.12006	0.0448525	0.0959634	0.121737	0.144703	0.134434	0.0955464	0.133106	0.147874
134	Q9H0A0	RNA cytidine acetyltransferase OS=Homo sapiens GN=NAT10 PE=1 SV=2	NAT10	132615.0	5.63947	0.0	70	224	6	5	0	6	5	126	2.15768e+06	434871.0	536496.0	527641.0	5.4189e+06	4.47997e+06	5.27396e+06	3.02186e+06	2.49031e+06	2.37011e+06	1.0	0.202564	0.248645	0.244541	2.50193	2.07629	2.4448	1.40051	1.15416	1.09846	0.0	0.160238	0.179901	0.138208	0.413446	0.432124	0.374518	0.239454	0.302243	0.131957
135	C9JDM3|C9JJ34|F6WQW2|P43487	Ran-specific GTPase-activating protein (Fragment) OS=Homo sapiens GN=RANBP1 PE=1 SV=8|Ran-specific GTPase-activating protein (Fragment) OS=Homo sapiens GN=RANBP1 PE=1 SV=1|Ran-specific GTPase-activating protein OS=Homo sapiens GN=RANBP1 PE=1 SV=1|Ran-specific GTPase-activating protein OS=Homo sapiens GN=RANBP1 PE=1 SV=1	RANBP1	22471.4|21958.5|39217.5|29253.8	4.89271	0.0	69	69	1	1	0	1	1	126	328883.0	67908.9	71801.3	83480.2	360926.0	359300.0	287119.0	551454.0	379560.0	404385.0	1.0	0.206483	0.218319	0.253829	1.09743	1.09249	0.873013	1.67675	1.15409	1.22957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
136	A0A087WT82|Q9Y625	Glypican-6 OS=Homo sapiens GN=GPC6 PE=1 SV=1|Glypican-6 OS=Homo sapiens GN=GPC6 PE=1 SV=1	GPC6	32088.3|69111.5	6.05695	0.0	39	39	3	1	1	2	1	126	875154.0	14946.3	47451.1	19636.7	395001.0	458641.0	298852.0	736404.0	547495.0	639897.0	1.0	0.0170785	0.0542202	0.022438	0.45135	0.524069	0.341485	0.841456	0.625598	0.731182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
137	P13639	Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4	EEF2	110402.0	6.09112	0.0	74	261	7	6	0	7	6	126	5.57053e+06	1.49098e+06	1.93034e+06	1.92622e+06	6.34011e+06	5.65594e+06	7.1123e+06	7.41581e+06	6.41406e+06	6.15743e+06	1.0	0.267654	0.345725	0.345291	1.13519	1.01601	1.27592	1.32888	1.15166	1.10578	0.0	0.0391646	0.130699	0.0818296	0.221458	0.302744	0.231103	0.229922	0.245629	0.133067
138	Q9UID3	Vacuolar protein sorting-associated protein 51 homolog OS=Homo sapiens GN=VPS51 PE=1 SV=2	VPS51	92175.6	5.33202	0.0	83	145	3	3	1	2	2	126	2.37975e+06	40313.2	74726.2	73020.9	2.86279e+06	2.34623e+06	2.56012e+06	4.06393e+06	3.16394e+06	2.8417e+06	1.0	0.0169401	0.0314009	0.0306843	1.20298	0.985914	1.07579	1.70771	1.32953	1.19412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
139	Q9P258	Protein RCC2 OS=Homo sapiens GN=RCC2 PE=1 SV=2	RCC2	63840.7	5.18828	0.0	57	57	1	1	0	1	1	126	768618.0	428186.0	608975.0	558237.0	873106.0	906326.0	1.05976e+06	1.05096e+06	898084.0	896129.0	1.0	0.557086	0.792298	0.726287	1.13594	1.17916	1.37879	1.36733	1.16844	1.1659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
140	A0A087WZ13|E9PAU2|K7EKR9|Q8IY67	Ribonucleoprotein PTB-binding 1 OS=Homo sapiens GN=RAVER1 PE=1 SV=1|Ribonucleoprotein PTB-binding 1 OS=Homo sapiens GN=RAVER1 PE=1 SV=1|Ribonucleoprotein PTB-binding 1 (Fragment) OS=Homo sapiens GN=RAVER1 PE=1 SV=1|Ribonucleoprotein PTB-binding 1 OS=Homo sapiens GN=RAVER1 PE=1 SV=1	RAVER1	84670.2|86633.3|12539.7|68878.7	5.04437	0.0	94	94	1	1	0	1	1	126	451019.0	20872.5	64758.7	38222.3	644445.0	591404.0	577966.0	724818.0	584530.0	620752.0	1.0	0.0462785	0.143583	0.0847466	1.42887	1.31126	1.28147	1.60707	1.29602	1.37633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
141	D3YTG3|H0Y897|Q7Z7G0	Target of Nesh-SH3 OS=Homo sapiens GN=ABI3BP PE=1 SV=1|Target of Nesh-SH3 (Fragment) OS=Homo sapiens GN=ABI3BP PE=1 SV=1|Target of Nesh-SH3 OS=Homo sapiens GN=ABI3BP PE=1 SV=1	ABI3BP	226828.0|142264.0|138506.0	6.68809	0.00502513	19	19	7	1	5	2	1	126	2.81149e+06	34253.7	178132.0	51649.1	2.51723e+06	2.23599e+06	2.16401e+06	4.38371e+06	3.70104e+06	3.15944e+06	1.0	0.0121835	0.0633586	0.0183707	0.895335	0.795302	0.769699	1.55921	1.3164	1.12376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
142	Q9H1E3	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Homo sapiens GN=NUCKS1 PE=1 SV=1	NUCKS1	36217.4	5.94606	0.0	43	43	1	1	0	1	1	126	261818.0	32867.7	62793.9	64095.0	362741.0	347882.0	356397.0	432360.0	411176.0	362707.0	1.0	0.125536	0.239838	0.244807	1.38547	1.32872	1.36124	1.65138	1.57047	1.38534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
143	Q8WXF1|X6RDA4	Paraspeckle component 1 OS=Homo sapiens GN=PSPC1 PE=1 SV=1|Paraspeckle component 1 (Fragment) OS=Homo sapiens GN=PSPC1 PE=1 SV=1	PSPC1	64435.3|30694.6	5.62661	0.0	45	173	5	3	2	3	3	126	2.03796e+06	151687.0	168316.0	405401.0	2.75131e+06	2.17813e+06	2.6251e+06	2.81873e+06	2.26641e+06	2.33298e+06	1.0	0.0744305	0.0825901	0.198925	1.35003	1.06878	1.2881	1.38311	1.11209	1.14476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
